deliverable,status,evidence,remaining_gate
frozen_evidence_registry,ready_with_historical_input_byte_limitation,experiments/evidence_registry/run_registry.csv,disclose_unavailable_exact_v1_processed_bytes
server_confirmatory_execution_package,ready,experiments/confirmatory_configs/server_package_manifest.json,
architecture_matched_ablation,pending_server_confirmatory_runs,experiments/confirmatory_results/architecture_matched_ablation.csv,accepted=0/25;registered=0/25;pending=25
clinical_utility_package,registered_cluster_uncertainty_ready_threshold_interpretation_pending,clinical_utility_report/provenance.json,clinical_threshold_prespecification_for_dca_and_deployment_interpretation
patient_cluster_subgroup_analysis,blocked_pending_prespecification,subgroup_analysis_patient_bootstrap.csv,clinical_cutpoints_and_minimum_patient_counts
exploratory_representation_analysis,ready_exploratory_only,experiments/evidence_registry/exploratory_provenance.json,retain_exploratory_claim_label
submission_supplement,evidence_linked_draft,experiments/evidence_registry/submission_supplement_provenance.json,rebuild_after_server_acceptance_and_locked_subgroup_prespecification
manuscript_tables,tables_1_2_ready_table_3_pending_server,tables/manuscript/provenance.json,table_3_pending_25_server_runs
final_figures,submission_staging_4_of_5_figures,figures/submission_staging/provenance.json,figure_2_requires_25_accepted_server_runs
supplementary_figures,s1_ready_s2_pending_subgroups,figures/submission_staging/SupplementaryFigureS1_provenance.json,supplementary_figure_s2_requires_locked_patient_cluster_subgroup_results
frozen_submission_manuscript,blocked,docs/manuscript_draft.md,metadata_or_reference_placeholders=18;claims=passed;server_confirmatory=incomplete;subgroups=pending
